t,Mx,My,Mz,Fx,Fy,Fz
10.579999999999819,4.605460017078935,0.6035023337930954,-0.04260531893013121,-0.11334477636378981,-0.01590520440839356,393.0109418988751
10.589999999999819,4.603801705190475,0.6082300718945439,-0.04328381037111953,-0.11367270283080493,-0.013022598679997187,393.0352170578475
10.599999999999818,4.602233971005882,0.6127729979890217,-0.043909277919294706,-0.11398176184964172,-0.01041476288710217,393.05712604109704
10.609999999999818,4.600740763706805,0.6171345094372747,-0.04448324129695096,-0.11427375259679538,-0.008055596944542678,393.0768938960643
10.619999999999818,4.599307652557551,0.6213176922123156,-0.04500715901050224,-0.11455029726089425,-0.005921479180706914,393.0947242755964
10.629999999999818,4.597921684354306,0.6253253614499268,-0.04548243205389305,-0.11481285842524525,-0.0039910308877520485,393.1108014723221
10.639999999999818,4.596571255124145,0.629160098402922,-0.04591040747416929,-0.11506275479159409,-0.0022449033365765717,393.1252922596111
10.649999999999817,4.59524599282542,0.6328242835890587,-0.04629238176637193,-0.11530117548107702,-0.0006655848410487605,393.1383475574574
10.659999999999817,4.59393665146991,0.6363201268879617,-0.04662960412008781,-0.11552919296382864,0.0007627737995535971,393.15010393998125
10.669999999999817,4.5926350161042375,0.6396496949605385,-0.04692327952035795,-0.115747774728016,0.0020545171482062486,393.16068499955156
10.679999999999817,4.5913338155068315,0.6428149356648635,-0.04717457164539817,-0.11595779386935749,0.003222628159977767,393.17020258120715
10.689999999999817,4.590026643783528,0.64581770031341,-0.04738460559219097,-0.11616003860727941,0.004278857510494821,393.1787578996983
10.699999999999816,4.588707888771664,0.6486597634834352,-0.0475544703964037,-0.11635522089666388,0.005233840702050791,393.1864425502829
10.709999999999816,4.587372667159155,0.651342840924902,-0.0476852213547954,-0.11654398415415024,0.006097204024304923,393.19333942341245
10.719999999999816,4.586016765697846,0.653868605577494,-0.047777882150184955,-0.11672691020644692,0.006877660414927266,393.19952353243343
10.729999999999816,4.584636587452831,0.6562387018718034,-0.04783344677787475,-0.11690452552820113,0.007583096245688403,393.20506276257265
10.739999999999815,4.583229103068588,0.6584547584567568,-0.04785288129079249,-0.11707730684381522,0.008220649829807983,393.2100185486564
10.749999999999815,4.581791806044292,0.6605183994964389,-0.04783712536516414,-0.1172456861360943,0.008796782499717376,393.2144464884345
10.759999999999815,4.580322672074152,0.6624312546785844,-0.047787093713800494,-0.11741005513474315,0.009317342900518843,393.21839689753597
10.769999999999815,4.578820121436342,0.664194967934755,-0.047703677350283476,-0.11757076935117267,0.009787625226205276,393.2219153116332
10.779999999999815,4.57728298527616,0.6658112052407389,-0.04758774474362325,-0.11772815166019644,0.010212421809385846,393.22504294086434
10.789999999999814,4.575710473780905,0.6672816612796392,-0.047440142850582186,-0.11788249552480762,0.01059607082571305,393.2278170810258
10.799999999999814,4.574102147459772,0.6686080652533914,-0.04726169806822622,-0.1180340678785587,0.010942499383023671,393.2302714856437
10.809999999999814,4.572457890016107,0.6697921857914284,-0.047053217101353385,-0.11818311171421815,0.01125526259672997,393.23243670266936
10.819999999999814,4.5707778840616315,0.6708358352559449,-0.04681548778438925,-0.11832984838217091,0.011537578830211333,393.23434037913006
10.829999999999814,4.569062587843813,0.6717408731903658,-0.046549279841294575,-0.11847447967474155,0.011792361689266187,393.2360075368017
10.839999999999813,4.567312713883634,0.6725092092522507,-0.046255345614537084,-0.1186171896765251,0.012022248929908455,393.23746082166804
