t,Mx,My,Mz,Fx,Fy,Fz
0.0,-9.748800692100332,-2.58061422638908,0.7089501399276275,0.3715899001797768,-3.677341801995744,373.5877602074569
0.01,-11.210646251585143,-2.6906007980322135,0.620409869242472,0.09943691898107974,-0.5543627799172097,375.44550583280375
0.02,-7.659310563827187,2.779503173780685,0.5401389835925274,-0.1938778587100568,-2.1645146248526883,412.60878726372357
0.03,-9.504992219730527,-2.067445697549893,0.7136114485757841,-0.27785526954572176,0.32810411944165907,377.2046875120668
0.04,-8.379779019329103,-1.9162340670487548,0.6927286175116041,-0.2749596594478721,0.4595781216177367,378.5875264912223
0.05,-7.2821450368019365,-1.7674764032724475,0.6779458570193382,-0.2653028478668892,0.513649173524511,379.86921595792785
0.060000000000000005,-6.230553512742022,-1.6236484911268851,0.6680796335883841,-0.25139600463496425,0.517760206780211,381.0549799722186
0.07,-4.967904038314005,-1.4768512858249454,0.6650224148761024,-0.22830674898033881,0.2315608074274189,382.17594861030864
0.08,-4.303651510828145,-1.375649761920792,0.6549874300937506,-0.2365301627916249,0.44657730100490195,383.1589073217053
0.09,-3.549783736183118,-1.2671064387791566,0.6517774677017085,-0.23046545810287988,0.5018324835425529,384.07818309231124
0.09999999999999999,-2.7537197164426077,-1.1555618215317192,0.6539408067542071,-0.21452143268859084,0.45045754840652497,384.93502845813885
0.10999999999999999,-2.011956104050715,-1.0421418158377809,0.659243007141025,-0.18933455745244787,0.3924279770655555,385.7247554543835
0.11999999999999998,-1.328605811151973,-0.9379299649713873,0.6660097772535118,-0.1663572689764956,0.3368206971201059,386.45133292647364
0.12999999999999998,-0.7038445454590454,-0.8455692480636614,0.6734978935794915,-0.14862921411726598,0.28848596322177,387.11901970320974
0.13999999999999999,-0.13476302893597103,-0.763375935262047,0.6815252107022476,-0.134907475172818,0.24889597089386006,387.7322035258811
0.15,0.38335905511205887,-0.689779226402207,0.6899507628699194,-0.12407479660565568,0.2173808526135056,388.2951534800229
0.16,0.8559661068404586,-0.6234249819229019,0.698545970441746,-0.11521888576057401,0.19222466661299076,388.81192937724313
0.17,1.2883706666416614,-0.5632008461706095,0.7074037265087602,-0.10766504059644572,0.1715190669662328,389.2863141841321
0.18000000000000002,1.6849554266327358,-0.5082688928579381,0.71648902083944,-0.10100571086975621,0.1539838855125677,389.721746393732
0.19000000000000003,2.049448145048383,-0.4580174073093291,0.7256298035922321,-0.09501917035030083,0.13874575421279822,390.1213458589392
0.20000000000000004,2.3849745117680676,-0.41193456799785144,0.7348395755636116,-0.08956066182783984,0.12513658773455805,390.4879846306085
0.21000000000000005,2.6939513754429316,-0.36961914370415944,0.7441190566715536,-0.08469434188745523,0.1131589131537202,390.82397131068
0.22000000000000006,2.978759971821739,-0.3307037720845326,0.753346796888664,-0.08025688888630772,0.10215350028954057,391.12926394065585
0.23000000000000007,3.241283798059615,-0.29509387877774285,0.762255654620081,-0.07596682830177683,0.09165989397818272,391.40693844429956
0.24000000000000007,3.483633810221975,-0.2625422664223591,0.7706413717601244,-0.07204090699302051,0.08201158342160023,391.6649208264291
0.25000000000000006,3.7083127456287652,-0.2323777116689302,0.7786884663259813,-0.06882338311618186,0.07454750572564342,391.90876085971024
0.26000000000000006,3.916535927470954,-0.2046207250770477,0.786525788253791,-0.06586028771144814,0.07021217237767699,392.09951125960043
0.2700000000000001,4.110155819964383,-0.17924235920493567,0.7931783176169129,-0.0630478671285496,0.06418379319970985,392.303600113587
0.2800000000000001,4.289720644562577,-0.15590227183881714,0.7992305659300645,-0.06048585984479192,0.05883564232119093,392.49041776231445
0.2900000000000001,4.456467234244968,-0.13450249152540558,0.804452640553177,-0.0580594492596681,0.05327610642225262,392.6726223863724
0.3000000000000001,4.611208559963633,-0.11477544307752646,0.8091916442712169,-0.055803106044272556,0.048561265920675355,392.8307699649995
0.3100000000000001,4.755247505359428,-0.09665777569548636,0.8132377587570423,-0.05369706543851808,0.045251012403720904,392.9649255381861
0.3200000000000001,4.890210141140248,-0.0798521201980826,0.8164309337448965,-0.05195454579876645,0.043292472455273665,393.08772711245837
0.3300000000000001,5.016194306723179,-0.06430612183572892,0.8186485438826541,-0.0504936650336605,0.04129007182987885,393.2044749207273
0.34000000000000014,5.133961348517248,-0.04999505458668411,0.8198454326824225,-0.04917029963782138,0.03935262909304679,393.31197387578504
0.35000000000000014,5.244300124096823,-0.03689424332074502,0.8199605928301055,-0.04793539267420538,0.03768828793085343,393.409249512423
0.36000000000000015,5.347688541371333,-0.02488337449443438,0.8190616704547586,-0.046806908626902205,0.03614832894096717,393.49714260370257
0.37000000000000016,5.444791980128626,-0.013843049092693367,0.817097992145758,-0.04579865593542729,0.034657709899162226,393.57654214063314
0.38000000000000017,5.536108867183291,-0.003700456032988627,0.8140314695493276,-0.044884398056276115,0.033175651437683855,393.647896860407
0.3900000000000002,5.622027365751895,0.005572909412495565,0.8098087943671399,-0.04384976292351969,0.031728563990186615,393.71193932825895
0.4000000000000002,5.703018802195137,0.014056340930358012,0.8045623179738743,-0.043180460244122434,0.03048482604355399,393.7695396136414
0.4100000000000002,5.779611250275628,0.021780683759256524,0.7981625757242674,-0.04259085233560765,0.029538482744674525,393.8213536371722
