t,com_x,com_y,com_z
0.0,0.002975443512745124,0.01088116821973499,0.8616485836523157
0.01,0.0029764284738926076,0.010871953334355111,0.8616004521302659
0.02,0.002977425392822713,0.010860908449461637,0.8605904942615777
0.03,0.0029863241765661257,0.010843553648031516,0.8604913323300276
0.04,0.0029946041825320816,0.010827052538955596,0.8603522456187508
0.05,0.003002269692384482,0.01081174065986816,0.860176683611252
0.060000000000000005,0.0030093432172072754,0.010797757329633716,0.8599678461469314
0.07,0.0030158586231043825,0.010785114664433866,0.8597286946942302
0.08,0.0030218811459732874,0.010773089997179209,0.8594620722790572
0.09,0.0030273896707508565,0.01076222122513791,0.8591704341335868
0.09999999999999999,0.0030323994144356723,0.010752644950221235,0.8588560775395306
0.10999999999999999,0.003036950754617122,0.01074422977338819,0.8585211446519319
0.11999999999999998,0.0030411074399970405,0.010736827137384764,0.8581676103537544
0.12999999999999998,0.0030449278008982247,0.01073029424631047,0.8577972919664756
0.13999999999999999,0.0030484570744996327,0.010724506357335718,0.85741185978756
0.15,0.0030517304881411624,0.010719360575769627,0.8570128480220931
0.16,0.003054776013105694,0.010714774261462272,0.8566016653964411
0.17,0.0030576165401071807,0.010710680798013883,0.8561796051635746
0.18000000000000002,0.003060271612987157,0.010707024787946178,0.8557478546318588
0.19000000000000003,0.0030627580673744693,0.010703758938509278,0.8553075033021506
0.20000000000000004,0.0030650910617152968,0.010700841854264993,0.8548595512303254
0.21000000000000005,0.0030672845848662136,0.010698236249762539,0.8544049163730068
0.22000000000000006,0.003069351133491461,0.01069590908601171,0.8539444401229697
0.23000000000000007,0.003071302427096899,0.01069382989215555,0.8534788875659542
0.24000000000000007,0.003073150468801099,0.010691969333251464,0.8530089556586509
0.25000000000000006,0.003074906000946221,0.010690300179650041,0.8525352918596618
0.26000000000000006,0.003076577641484025,0.01068880113620712,0.8520585078725101
0.2700000000000001,0.0030781757402094955,0.010687461020981791,0.8515790851473669
0.2800000000000001,0.0030797081042631983,0.01068626247952391,0.8510975363894252
0.2900000000000001,0.0030811818693543347,0.010685189985759529,0.8506143311396964
0.3000000000000001,0.0030826031071358334,0.010684226803923402,0.8501299268017544
0.3100000000000001,0.003083977764219385,0.010683358862642777,0.8496447209520722
0.3200000000000001,0.0030853122170331595,0.010682576391769992,0.8491590520242202
0.3300000000000001,0.0030866121395432132,0.010681873619101043,0.8486732302449458
0.34000000000000014,0.0030878820191482382,0.010681244406902287,0.8481875502400933
0.35000000000000014,0.003089125815673274,0.01068068278281342,0.8477022833667371
0.36000000000000015,0.003090347379090504,0.010680183667255651,0.847217675574628
0.37000000000000016,0.0030915503595282156,0.01067974235751878,0.8467339494519329
0.38000000000000017,0.003092738106460287,0.010679354302433284,0.8462513063538274
0.3900000000000002,0.0030939137899400155,0.010679015002529987,0.8457699275778494
0.4000000000000002,0.003095081165706075,0.01067872001638529,0.8452899764716822
0.4100000000000002,0.0030962427324109673,0.010678465527503766,0.844811599880547
0.4200000000000002,0.003097400822194269,0.010678248616348054,0.8443349302125981
0.4300000000000002,0.0030985575508768364,0.010678066680553596,0.8438600868753101
0.4400000000000002,0.003099714838115716,0.010677917405768218,0.8433871773214635
0.45000000000000023,0.0031008744279120274,0.010677798741362486,0.8429162980163546
0.46000000000000024,0.0031020379059046982,0.01067770887535837,0.842447535325638
0.47000000000000025,0.0031032067157165015,0.010677646209669184,0.841980966331979
0.48000000000000026,0.0031043822083709153,0.010677609322579525,0.8415166596162557
