t,com_x,com_y,com_z
0.0,0.002975443512745124,0.01088116821973499,0.8616485836523157
0.01,0.0029764467525156893,0.010882129560485293,0.8615936222506569
0.02,0.002977428983776889,0.010881172607555886,0.8605767822148861
0.03,0.002986949124280989,0.01088162351993009,0.860461382641702
0.04,0.002995604775616997,0.010882020615095444,0.8603028043027136
0.05,0.0030034787141480714,0.010882372019569405,0.860105404453961
0.060000000000000005,0.0030106461179051705,0.010882683433036952,0.8598731367941209
0.07,0.003017174330338606,0.01088295822940187,0.8596095952988302
0.08,0.0030231238255942496,0.010883198513618937,0.8593180422538802
0.09,0.00302854945579146,0.010883405805336779,0.8590014288219018
0.09999999999999999,0.003033501480747223,0.010883581609566565,0.858662416304005
0.10999999999999999,0.0030380259970418677,0.010883726722328353,0.8583034002049468
0.11999999999999998,0.003042165224088314,0.010883842454802957,0.8579265371865189
0.12999999999999998,0.003045957965865602,0.010883930942565439,0.8575337711337062
0.13999999999999999,0.003049439744819631,0.010883994791365405,0.8571268567970968
0.15,0.0030526420871982442,0.010884035995302523,0.8567073978320571
0.16,0.0030555923710897433,0.010884055351354385,0.8562768708141173
0.17,0.0030583155660828996,0.01088405371592286,0.8558366075818683
0.18000000000000002,0.003060834428810293,0.010884031939054144,0.8553878091751451
0.19000000000000003,0.003063169646903882,0.010883990802816964,0.8549315588976203
0.20000000000000004,0.0030653399898311145,0.010883930988611755,0.8544688342367247
0.21000000000000005,0.0030673624669821375,0.0108838530581861,0.8540005171002952
0.22000000000000006,0.0030692524736526654,0.010883757449776607,0.8535274031767854
0.23000000000000007,0.003071023930353486,0.010883644487392149,0.853050210348362
0.24000000000000007,0.003072689415382247,0.010883514398085704,0.8525695862186212
0.25000000000000006,0.0030742602893004773,0.010883367333279065,0.8520861148727787
0.26000000000000006,0.003075746804521963,0.01088320340227366,0.8516003233315987
0.2700000000000001,0.003077158218181972,0.010883022683074305,0.8511126865793873
0.2800000000000001,0.0030785028760487378,0.010882825253099124,0.8506236332204106
0.2900000000000001,0.0030797881528969112,0.010882611320559787,0.8501335572107228
0.3000000000000001,0.0030810207308267262,0.010882381134084903,0.8496428130415623
0.3100000000000001,0.0030822066585200845,0.01088213497938252,0.8491517195704158
0.3200000000000001,0.0030833514076340405,0.010881873171617876,0.8486605634775306
0.3300000000000001,0.0030844599223293426,0.010881596050495816,0.8481696023895093
0.34000000000000014,0.0030855366614889,0.010881303977433242,0.8476790676974055
0.35000000000000014,0.0030865856409841006,0.010880997335393102,0.8471891671037577
0.36000000000000015,0.003087610479649987,0.010880676528886012,0.84670008692697
0.37000000000000016,0.00308861441951917,0.010880341986080582,0.8462119941645156
0.38000000000000017,0.003089600368767979,0.010879994157125908,0.8457250383692716
0.3900000000000002,0.003090570943084379,0.010879633512533644,0.8452393533427653
0.4000000000000002,0.0030915284931652045,0.010879260544649022,0.8447550586563405
0.4100000000000002,0.003092475129134694,0.01087887576408338,0.8442722610211666
0.4200000000000002,0.0030934127435305906,0.010878479701756693,0.8437910555240795
0.4300000000000002,0.003094343032252628,0.010878072910298731,0.8433115267420355
0.4400000000000002,0.0030952675130372334,0.010877655959861792,0.8428337497459142
0.45000000000000023,0.00309618754326145,0.010877229443188719,0.8423577910074954
0.46000000000000024,0.003097104335224786,0.010876793971614713,0.8418837092153076
0.47000000000000025,0.0030980189705808103,0.010876350176335337,0.8414115560112577
0.48000000000000026,0.003098932413342537,0.010875898708462792,0.8409413766545143
0.49000000000000027,0.0030998455216449364,0.010875440238547262,0.8404732106199213
0.5000000000000002,0.0031007590586839572,0.010874975458714296,0.8400070921379996
0.5100000000000002,0.003101673702055477,0.010874505078776546,0.8395430506805059
0.5200000000000002,0.0031025900518916144,0.010874029819189427,0.8390811113974129
0.5300000000000002,0.0031035086389796596,0.010873550412000627,0.838621295512292
0.5400000000000003,0.0031044299311555304,0.010873067591744997,0.838163620676606
0.5500000000000003,0.0031053543402441894,0.010872582098876551,0.8377081012913404
0.5600000000000003,0.003106282227678675,0.010872094675948572,0.8372547487953476
0.5700000000000003,0.003107213909515983,0.010871606063239277,0.8368035719249319
0.5800000000000003,0.003108149661468111,0.010871116999883952,0.8363545769486579
0.5900000000000003,0.003109089723152858,0.010870628221661712,0.8359077678781663
0.6000000000000003,0.003110034301861718,0.010870140458067307,0.8354631466578737
0.6100000000000003,0.0031109835758631396,0.010869654428409448,0.8350207133356374
0.6200000000000003,0.003111937697788202,0.010869170842587029,0.8345804662173592
0.6300000000000003,0.003112896797460135,0.010868690399299115,0.834142402005931
0.6400000000000003,0.003113860967944282,0.010868213787004316,0.8337065159184205
0.6500000000000004,0.0031148302659196377,0.010867741682754162,0.8332728017985424
0.6600000000000004,0.003115804728628314,0.010867274747921117,0.8328412522264081
0.6700000000000004,0.0031167843712793537,0.010866813626260517,0.8324118586089106
0.6800000000000004,0.0031177692063678515,0.010866358943893373,0.831984611276266
0.6900000000000004,0.003118759241698572,0.010865911306302932,0.8315594995580694
0.7000000000000004,0.0031197544773078683,0.01086547129913595,0.8311365118533921
0.7100000000000004,0.0031207549066206985,0.010865039487182038,0.8307156356983052
0.7200000000000004,0.00312176051762069,0.01086461641347527,0.8302968578296507
0.7300000000000004,0.0031227712936053834,0.010864202598446983,0.8298801642455601
0.7400000000000004,0.0031237872054231466,0.01086379855645358,0.8294655416664782
0.7500000000000004,0.0031248081809320065,0.010863404870174159,0.8290529834965297
0.7600000000000005,0.0031258341528683847,0.010863022082192704,0.8286424816162765
0.7700000000000005,0.003126865054019765,0.01086265068780386,0.8282340265662228
