t,Mx,My,Mz,Fx,Fy,Fz
0.0,3.3410985340607544,-1.9244268925693353,0.054010333486529505,0.1689065746098119,0.4477244068985693,369.98423937721003
0.01,3.5051657236107325,-1.8832728657488276,0.08474626646211961,0.1164484535205475,0.34561272127998643,372.28703213797576
0.02,0.8209317975630508,2.0319167691542046,-0.28226329690458407,-1.6269360266751853,0.7048770905497735,410.1094238219259
0.03,4.0585302440859685,-1.2345458591549665,0.2067427754516719,-0.15260759315466949,0.1072023067064567,375.1133507381776
0.04,4.232529267973629,-1.1526493757481997,0.23512473577599818,-0.15967350902812433,0.0025810180015864844,376.9575488191216
0.05,4.3424383435722955,-1.0669887164096514,0.2641656590787823,-0.15447761309310232,-0.055602184538183205,378.62550580313814
0.060000000000000005,4.401396476798208,-0.9836907427219578,0.29330220113392447,-0.1438521989003556,-0.07791141829138001,380.133873294822
0.07,4.43068375639932,-0.9062092047362895,0.32223296763856557,-0.13213903471617672,-0.0802225941441094,381.49786345053724
0.08,4.447002871841049,-0.8355532378951407,0.35085177167781445,-0.12114454694607223,-0.07469400075616056,382.73127064898733
0.09,4.459099596360506,-0.771448269822965,0.37913020366656336,-0.11121919200579006,-0.06755251568560938,383.84656532168907
0.09999999999999999,4.470107343323394,-0.7133210489271458,0.40704001080829344,-0.10228273718766055,-0.06092813801469457,384.8550099721003
0.10999999999999999,4.480259043295229,-0.6606659357064772,0.43453352840278625,-0.09424160769630374,-0.05487469542944142,385.7667790602504
0.11999999999999998,4.4896787190360214,-0.6130096571820002,0.4615640676686682,-0.0870100765401234,-0.04937727617931727,386.59107735088355
0.12999999999999998,4.49844340345941,-0.5699113797394391,0.4880864241286972,-0.08051039133632006,-0.04439664764756883,387.3362327173478
0.13999999999999999,4.506610000866698,-0.530961943968109,0.5140571662698551,-0.07467204679859893,-0.039887962668458385,388.0097799392645
0.15,4.514226303495116,-0.4957828434636884,0.5394347868047388,-0.06943102280754242,-0.03580792303478266,388.6185363124084
0.16,4.521334872615476,-0.4640250764514174,0.5641797595666936,-0.06472916634537652,-0.032116816809084875,389.16867014458364
0.17,4.527974073835181,-0.4353678666307156,0.5882545538597697,-0.06051369367727502,-0.028778569005540888,389.66576258150775
0.18000000000000002,4.534178644005376,-0.4095172148357422,0.6116236271421309,-0.0567367352406558,-0.025760516820561657,390.11486356492964
0.19000000000000003,4.539980037221804,-0.38620434292653416,0.6342534044618231,-0.0533549172506611,-0.02303308514076688,390.52054249658755
0.20000000000000004,4.545406735512825,-0.3651840756380039,0.6561122614966068,-0.05032897157221798,-0.02056949132432038,390.88693392451904
0.21000000000000005,4.550484528980418,-0.34623320526202517,0.6771704946445859,-0.0476233734108006,-0.018345476889778806,391.21777899076903
0.22000000000000006,4.555236767830602,-0.32914887418990124,0.6974002918874787,-0.04520600625894691,-0.016339063998120455,391.51646288215437
0.23000000000000007,4.559684589182135,-0.3137470007797421,0.7167757001054615,-0.04304785301459865,-0.014530334458792982,391.78604874330347
0.24000000000000007,4.563847122111968,-0.2998607667324139,0.7352725961034683,-0.041122712092229535,-0.012901229569529413,392.0293083055299
0.25000000000000006,4.567741671250035,-0.2873391788429605,0.7528686554691479,-0.03940693716496989,-0.011435368599610436,392.24874962999615
0.26000000000000006,4.571383882678569,-0.2760457127075628,0.7695433226082922,-0.03787919909848608,-0.01011788451699604,392.4466421993476
0.2700000000000001,4.574787892471052,-0.265857042834167,0.785277782354133,-0.03652026859273322,-0.008935275172048333,392.6250396187397
0.2800000000000001,4.577966461459987,-0.25666186027859234,0.8000549326919968,-0.03531281806085289,-0.007875268814131555,392.78580015460307
0.2900000000000001,4.580931095459405,-0.24835977766303424,0.8138593588044987,-0.03424124134283295,-0.006926702308479147,392.9306053175916
0.3000000000000001,4.583692154196012,-0.2408603189600995,0.8266773083625198,-0.03329148981272425,-0.006079411268583137,393.0609766761953
0.3100000000000001,4.586258949726406,-0.234081991071914,0.8384966680087843,-0.032450923553336466,-0.005324131225887067,393.17829106981605
0.3200000000000001,4.588639835409069,-0.2279514330210177,0.8493069408505053,-0.03170817636993856,-0.0046524082304312655,393.2837943738244
0.3300000000000001,4.590842286881674,-0.22240263856248632,0.8590992248945204,-0.031053033379611267,-0.0040565192604075095,393.37861395473703
0.34000000000000014,4.592872976658576,-0.2173762471224832,0.867866192014805,-0.030476320130637856,-0.0035294007448707716,393.46376994008824
0.35000000000000014,4.594737841316052,-0.212818898823993,0.875602067659796,-0.029969802213759087,-0.003064584446554215,393.54018541616836
0.36000000000000015,4.596442142659438,-0.20868264860621047,0.8823026109377357,-0.029526094439224562,-0.0026561398486306086,393.60869565555436
0.37000000000000016,4.59799052383509,-0.2049244348174708,0.8879650947506871,-0.029138578711914918,-0.002298622359969759,393.6700564668332
0.38000000000000017,4.59938706011204,-0.2015055978378969,0.8925882859837297,-0.02880132977587921,-0.001987026501144773,393.7249517501639
0.3900000000000002,4.600635303175519,-0.1983914451337088,0.89617242548364,-0.028509048186169877,-0.0017167432537598378,393.77400033422197
0.4000000000000002,4.601738324390786,-0.1955508574420451,0.8987192078855424,-0.0282569996717596,-0.0014835219624033886,393.81776216284493
0.4100000000000002,4.602698750952635,-0.19295593401037053,0.9002317609002024,-0.028040960427945235,-0.0012834354278388862,393.85674389348765
0.4200000000000002,4.603518801591423,-0.19058167208429178,0.9007146240665175,-0.027857167663333994,-0.0011128489683580652,393.89140396313974
0.4300000000000002,4.604200319141659,-0.1884056780452959,0.9001737268195761,-0.02770227489576775,-0.0009683927665663731,393.92215717263156
